ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S146.43,1647 SCOTCH PINE WAY,The Village of Duval,Sumter,Amarillo,460500,3,2,1668,"2 Car, plus Golf Car Garage",,28.87199613,-81.99287525,A,P,,246635
S146.89,1488 TALLOWTREE DR,The Village of Duval,Sumter,Corpus Christi,309000,3,2,1240,"1 Car, plus Golf Car Garage",,28.869278,-81.98868541,A,P,,246835
S146.144,1585 TALLOWTREE DR,The Village of Duval,Sumter,Amarillo,337000,3,2,1527,2 Car Garage,,28.87033097,-81.99098301,A,P,,245136
S706.43,1427 FAIRWAY ST,The Village of Duval,Sumter,Colony,284900,2,2,1156,"1 Car, plus Golf Car Garage",,28.86774105,-81.98684759,A,P,,246100
S703.4,1453 CRESTWOOD LN,The Village of Duval,Sumter,Cabot Cove,318990,2,2,1188,"1 Car, plus Golf Car Garage",,28.87497615,-81.98739789,A,P,,246696
S136.28,2268 SUTTON TER,The Village of Bonita,Sumter,Jasmine,389850,3,2,1517,2 Car Garage,,28.8782223,-81.97155981,A,P,wY8dlXzc65g,245744
S141.236,2418 COLUMBIA WAY,The Village of Bonita,Sumter,Jasmine,486977,3,2,1541,"2 Car, plus Golf Car Garage",,28.8751443,-81.98172872,A,P,,245421
S712.54,2373 KENYA ST,The Village of Bonita,Sumter,Woodlawn,324900,2,2,1258,"1 Car, plus Golf Car Garage",,28.87601219,-81.96853099,A,P,,246327
S717.55,2319 SWANSEA TER,The Village of Bonita,Sumter,Grantham,449316,3,2,1685,"1 Car, plus Golf Car Garage",,28.87724953,-81.97639509,A,P,,246834
S134.218,2603 LANDALE LOOP,The Village of Hadley,Sumter,Jasmine,449900,3,2,1497,"2 Car, plus Golf Car Garage",,28.87119853,-81.95974012,A,P,ImY9gtn7JyM,246346
S138.219,992 NASH LOOP,The Village of Hemingway,Sumter,Austin,302000,2,2,1142,"1 Car, plus Golf Car Garage",,28.87288299,-81.97455687,A,P,,246436
S144.71,1081 ALCOVE LOOP,The Village of Hemingway,Sumter,Lily,469999,3,2,1939,2 Car Garage,,28.8694411,-81.9780231,A,P,0YEYggO9zWs,246833
S709.13,2504 KNOX TER,The Village of Hemingway,Sumter,Colony,272000,2,2,1156,"1 Car, plus Golf Car Garage",,28.87267096,-81.97649865,A,P,,246831
S709.22,1021 JACE PL,The Village of Hemingway,Sumter,Colony,309000,2,2,1156,"1 Car, plus Golf Car Garage",,28.87295223,-81.97560449,A,P,,244945
S171.114,1108 MIONA SHORES DR,The Village of Bridgeport at Miona Shores,Sumter,Sanibel,1149000,3,2,3159,3 Car Garage,,28.90630122,-82.00999403,A,P,lOvyG-ePx74,245318
S148.93,2301 MIDNIGHT PASS CT,The Village of St. Charles,Sumter,Lily,599000,3,2,1939,2 Car Garage,,28.87761167,-81.99448808,A,P,,246181
S166.138,1988 KIRKWOOD CT,The Village of Pennecamp,Sumter,Iris,649000,3,2,2464,"2 Car, plus Golf Car Garage",,28.88885892,-82.00223542,A,P,,246796
S167.14,2076 TRIGGERFISH RUN,The Village of Pennecamp,Sumter,Bridgeport,959000,3,2.5,2027,"2 Car, plus Golf Car Garage",,28.88957745,-82.00476922,A,P,,245723
S820.18,2159 GREY DOVE LN,The Village of Pennecamp,Sumter,The Birdie,468900,3,2,1685,"1 Car, plus Golf Car Garage",,28.89171354,-82.00700643,A,P,,246595
